Downloaded from wid.world on 05-01-2022 at 14:59:31
Austria;"shweal_p0p50_z_AT
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2020;0.0315
Austria;"shweal_p90p100_z_AT
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2020;0.6142
Austria;"shweal_p99p100_z_AT
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2020;0.2985
Belgium;"shweal_p0p50_z_BE
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2020;0.0747
Belgium;"shweal_p90p100_z_BE
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2020;0.5209
Belgium;"shweal_p99p100_z_BE
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2020;0.1481
Bulgaria;"shweal_p0p50_z_BG
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2020;0.0574
Bulgaria;"shweal_p90p100_z_BG
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2020;0.5781
Bulgaria;"shweal_p99p100_z_BG
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2020;0.2451
Croatia;"shweal_p0p50_z_HR
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2020;0.0624
Croatia;"shweal_p90p100_z_HR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2020;0.5504
Croatia;"shweal_p99p100_z_HR
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2020;0.2193
Cyprus;"shweal_p0p50_z_CY
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2020;0.0411
Cyprus;"shweal_p90p100_z_CY
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2020;0.6638
Cyprus;"shweal_p99p100_z_CY
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2020;0.3213
Czech Republic;"shweal_p0p50_z_CZ
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2020;0.0596
Czech Republic;"shweal_p90p100_z_CZ
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2020;0.5706
Czech Republic;"shweal_p99p100_z_CZ
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2020;0.2578
Denmark;"shweal_p0p50_z_DK
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2020;0.0403
Denmark;"shweal_p90p100_z_DK
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2020;0.5063
Denmark;"shweal_p99p100_z_DK
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2020;0.2146
Estonia;"shweal_p0p50_z_EE
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2020;0.0126
Estonia;"shweal_p90p100_z_EE
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2020;0.6644
Estonia;"shweal_p99p100_z_EE
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2020;0.327
Finland;"shweal_p0p50_z_FI
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2020;0.0205
Finland;"shweal_p90p100_z_FI
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2020;0.5576
Finland;"shweal_p99p100_z_FI
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2020;0.18
France;"shweal_p0p50_z_FR
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2020;0.0496
France;"shweal_p90p100_z_FR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2020;0.5893
France;"shweal_p99p100_z_FR
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2020;0.2605
Germany;"shweal_p0p50_z_DE
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2020;0.0339
Germany;"shweal_p90p100_z_DE
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2020;0.5899
Germany;"shweal_p99p100_z_DE
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2020;0.287
Greece;"shweal_p0p50_z_GR
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2020;-0.0188
Greece;"shweal_p90p100_z_GR
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2020;0.6006
Greece;"shweal_p99p100_z_GR
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2020;0.226
Hungary;"shweal_p0p50_z_HU
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2020;0.039
Hungary;"shweal_p90p100_z_HU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2020;0.6727
Hungary;"shweal_p99p100_z_HU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2020;0.3347
Ireland;"shweal_p0p50_z_IE
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2020;-0.0338
Ireland;"shweal_p90p100_z_IE
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2020;0.661
Ireland;"shweal_p99p100_z_IE
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2020;0.2323
Italy;"shweal_p0p50_z_IT
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2020;0.0995
Italy;"shweal_p90p100_z_IT
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2020;0.4767
Italy;"shweal_p99p100_z_IT
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2020;0.1803
Latvia;"shweal_p0p50_z_LV
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2020;0.0596
Latvia;"shweal_p90p100_z_LV
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2020;0.6055
Latvia;"shweal_p99p100_z_LV
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2020;0.2852
Lithuania;"shweal_p0p50_z_LT
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2020;0.06
Lithuania;"shweal_p90p100_z_LT
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2020;0.565
Lithuania;"shweal_p99p100_z_LT
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2020;0.2325
Luxembourg;"shweal_p0p50_z_LU
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2020;0.0434
Luxembourg;"shweal_p90p100_z_LU
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2020;0.5935
Luxembourg;"shweal_p99p100_z_LU
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2020;0.2878
Malta;"shweal_p0p50_z_MT
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2020;0.1037
Malta;"shweal_p90p100_z_MT
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2020;0.5382
Malta;"shweal_p99p100_z_MT
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2020;0.2128
Netherlands;"shweal_p0p50_z_NL
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2020;0.0898
Netherlands;"shweal_p90p100_z_NL
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2020;0.4771
Netherlands;"shweal_p99p100_z_NL
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2020;0.1615
Norway;"shweal_p0p50_z_NO
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2020;0.0362
Norway;"shweal_p90p100_z_NO
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2020;0.5221
Norway;"shweal_p99p100_z_NO
Net personal wealth
Top 1% | share | adults | equal split
";p99p100;2020;0.227
Poland;"shweal_p0p50_z_PL
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2020;-0.0074
